"filename", "language", "Python", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Users\chili\Desktop\Blood-Ink\account\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\chili\Desktop\Blood-Ink\account\admin.py", "Python", 3, 0, 0, 1, 2, 6
"c:\Users\chili\Desktop\Blood-Ink\account\apps.py", "Python", 3, 0, 0, 0, 3, 6
"c:\Users\chili\Desktop\Blood-Ink\account\models.py", "Python", 21, 0, 0, 0, 6, 27
"c:\Users\chili\Desktop\Blood-Ink\account\static\styles\account.css", "PostCSS", 0, 0, 138, 3, 4, 145
"c:\Users\chili\Desktop\Blood-Ink\account\templates\profile.html", "HTML", 0, 84, 0, 17, 1, 102
"c:\Users\chili\Desktop\Blood-Ink\account\tests.py", "Python", 1, 0, 0, 1, 2, 4
"c:\Users\chili\Desktop\Blood-Ink\account\urls.py", "Python", 6, 0, 0, 0, 3, 9
"c:\Users\chili\Desktop\Blood-Ink\account\views.py", "Python", 13, 0, 0, 2, 5, 20
"c:\Users\chili\Desktop\Blood-Ink\blood_ink\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\chili\Desktop\Blood-Ink\blood_ink\asgi.py", "Python", 4, 0, 0, 8, 5, 17
"c:\Users\chili\Desktop\Blood-Ink\blood_ink\settings.py", "Python", 86, 0, 0, 35, 37, 158
"c:\Users\chili\Desktop\Blood-Ink\blood_ink\urls.py", "Python", 19, 0, 0, 16, 3, 38
"c:\Users\chili\Desktop\Blood-Ink\blood_ink\wsgi.py", "Python", 4, 0, 0, 8, 5, 17
"c:\Users\chili\Desktop\Blood-Ink\game\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\chili\Desktop\Blood-Ink\game\admin.py", "Python", 9, 0, 0, 2, 5, 16
"c:\Users\chili\Desktop\Blood-Ink\game\apps.py", "Python", 3, 0, 0, 0, 3, 6
"c:\Users\chili\Desktop\Blood-Ink\game\models.py", "Python", 41, 0, 0, 2, 22, 65
"c:\Users\chili\Desktop\Blood-Ink\game\static\styles\game.css", "PostCSS", 0, 0, 49, 0, 4, 53
"c:\Users\chili\Desktop\Blood-Ink\game\templates\start_game.html", "HTML", 0, 31, 0, 9, 2, 42
"c:\Users\chili\Desktop\Blood-Ink\game\tests.py", "Python", 1, 0, 0, 1, 2, 4
"c:\Users\chili\Desktop\Blood-Ink\game\urls.py", "Python", 6, 0, 0, 0, 3, 9
"c:\Users\chili\Desktop\Blood-Ink\game\views.py", "Python", 14, 0, 0, 5, 7, 26
"c:\Users\chili\Desktop\Blood-Ink\home\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\chili\Desktop\Blood-Ink\home\admin.py", "Python", 1, 0, 0, 1, 3, 5
"c:\Users\chili\Desktop\Blood-Ink\home\apps.py", "Python", 3, 0, 0, 0, 3, 6
"c:\Users\chili\Desktop\Blood-Ink\home\models.py", "Python", 1, 0, 0, 1, 3, 5
"c:\Users\chili\Desktop\Blood-Ink\home\static\styles\css\home.css", "PostCSS", 0, 0, 65, 4, 11, 80
"c:\Users\chili\Desktop\Blood-Ink\home\static\styles\css\menu.css", "PostCSS", 0, 0, 63, 2, 6, 71
"c:\Users\chili\Desktop\Blood-Ink\home\templates\home.html", "HTML", 0, 29, 0, 8, 3, 40
"c:\Users\chili\Desktop\Blood-Ink\home\templates\layouts\navbar.html", "HTML", 0, 65, 0, 7, 4, 76
"c:\Users\chili\Desktop\Blood-Ink\home\tests.py", "Python", 1, 0, 0, 1, 2, 4
"c:\Users\chili\Desktop\Blood-Ink\home\urls.py", "Python", 6, 0, 0, 1, 3, 10
"c:\Users\chili\Desktop\Blood-Ink\home\views.py", "Python", 11, 0, 0, 5, 6, 22
"c:\Users\chili\Desktop\Blood-Ink\login\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\chili\Desktop\Blood-Ink\login\admin.py", "Python", 1, 0, 0, 1, 2, 4
"c:\Users\chili\Desktop\Blood-Ink\login\apps.py", "Python", 3, 0, 0, 0, 3, 6
"c:\Users\chili\Desktop\Blood-Ink\login\forms.py", "Python", 41, 0, 0, 1, 10, 52
"c:\Users\chili\Desktop\Blood-Ink\login\models.py", "Python", 1, 0, 0, 1, 2, 4
"c:\Users\chili\Desktop\Blood-Ink\login\static\styles\css\users_inputs.css", "PostCSS", 0, 0, 106, 0, 3, 109
"c:\Users\chili\Desktop\Blood-Ink\login\templates\login\login.html", "HTML", 0, 25, 0, 3, 4, 32
"c:\Users\chili\Desktop\Blood-Ink\login\templates\login\signin.html", "HTML", 0, 32, 0, 11, 3, 46
"c:\Users\chili\Desktop\Blood-Ink\login\tests.py", "Python", 1, 0, 0, 1, 2, 4
"c:\Users\chili\Desktop\Blood-Ink\login\urls.py", "Python", 9, 0, 0, 0, 4, 13
"c:\Users\chili\Desktop\Blood-Ink\login\views.py", "Python", 33, 0, 0, 4, 10, 47
"c:\Users\chili\Desktop\Blood-Ink\manage.py", "Python", 15, 0, 0, 3, 5, 23
"c:\Users\chili\Desktop\Blood-Ink\novels\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\chili\Desktop\Blood-Ink\novels\admin.py", "Python", 6, 0, 0, 1, 5, 12
"c:\Users\chili\Desktop\Blood-Ink\novels\apps.py", "Python", 3, 0, 0, 0, 3, 6
"c:\Users\chili\Desktop\Blood-Ink\novels\forms.py", "Python", 28, 0, 0, 0, 4, 32
"c:\Users\chili\Desktop\Blood-Ink\novels\models.py", "Python", 33, 0, 0, 8, 19, 60
"c:\Users\chili\Desktop\Blood-Ink\novels\static\styles\css\description.css", "PostCSS", 0, 0, 195, 6, 8, 209
"c:\Users\chili\Desktop\Blood-Ink\novels\static\styles\css\inputs_labels.css", "PostCSS", 0, 0, 119, 0, 5, 124
"c:\Users\chili\Desktop\Blood-Ink\novels\static\styles\css\prologue.css", "PostCSS", 0, 0, 26, 1, 0, 27
"c:\Users\chili\Desktop\Blood-Ink\novels\templates\description.html", "HTML", 0, 92, 0, 19, 6, 117
"c:\Users\chili\Desktop\Blood-Ink\novels\templates\make_novel.html", "HTML", 0, 46, 0, 11, 10, 67
"c:\Users\chili\Desktop\Blood-Ink\novels\templates\prologo.html", "HTML", 0, 14, 0, 5, 3, 22
"c:\Users\chili\Desktop\Blood-Ink\novels\templates\update_description.html", "HTML", 0, 18, 0, 5, 3, 26
"c:\Users\chili\Desktop\Blood-Ink\novels\tests.py", "Python", 1, 0, 0, 1, 2, 4
"c:\Users\chili\Desktop\Blood-Ink\novels\urls.py", "Python", 13, 0, 0, 0, 4, 17
"c:\Users\chili\Desktop\Blood-Ink\novels\views.py", "Python", 56, 0, 0, 2, 16, 74
"Total", "-", 501, 436, 761, 224, 310, 2232